Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1970,.08,.22,.06,.05,-.03,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.03,-.15,-.18,-.07,-.05,-.16,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.12,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.05,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,.00,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.19,.23,.25,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.03,.08
1979,.09,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.17,.13,.02,.13,.11,.27
1980,.30,.39,.30,.30,.35,.21,.22,.19,.21,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.06,.15,.04,.14,.13,.18,.43,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.28,.34,.23,.18,.36,.37,.17,.30,.17,.31,.34,.46,.34,.26,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.25,.13,.10
1987,.32,.43,.19,.24,.26,.35,.40,.25,.35,.33,.29,.46,.32,.30,.29,.23,.33,.32
1988,.57,.44,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.38,.29
1989,.13,.30,.36,.29,.17,.15,.34,.33,.34,.29,.20,.37,.27,.27,.24,.28,.27,.28
1990,.41,.44,.80,.56,.46,.38,.46,.34,.23,.45,.46,.41,.45,.45,.41,.61,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.41,.41,.44,.40,.46,.34
1992,.48,.40,.48,.27,.31,.26,.09,.08,-.01,.06,.03,.22,.22,.23,.40,.36,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.12,.23,.03,.18,.23,.24,.31,.31,.20,.13
1994,.26,.03,.29,.41,.28,.44,.30,.21,.32,.42,.44,.38,.32,.30,.16,.33,.32,.39
1995,.52,.79,.47,.47,.27,.43,.45,.45,.34,.47,.44,.26,.45,.46,.57,.40,.45,.42
1996,.24,.46,.33,.33,.27,.29,.37,.48,.25,.20,.38,.37,.33,.32,.32,.31,.38,.28
1997,.31,.41,.52,.34,.34,.55,.34,.41,.52,.61,.64,.59,.46,.45,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.66,.42,.41,.43,.55,.61,.61,.68,.65,.70,.42
1999,.49,.64,.32,.32,.27,.36,.38,.32,.39,.34,.37,.41,.38,.40,.56,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.43,.39,.26,.30,.28,.40,.41,.41,.49,.41,.32
2001,.46,.44,.56,.50,.58,.52,.59,.49,.52,.50,.72,.56,.54,.51,.39,.55,.53,.58
2002,.77,.79,.88,.58,.64,.53,.62,.53,.63,.54,.59,.44,.63,.64,.71,.70,.56,.59
2003,.75,.59,.60,.55,.61,.48,.58,.65,.62,.73,.53,.75,.62,.59,.59,.59,.57,.63
2004,.59,.73,.63,.61,.37,.44,.26,.46,.50,.61,.73,.51,.54,.56,.69,.54,.39,.61
2005,.74,.60,.74,.67,.63,.65,.61,.60,.71,.75,.74,.68,.68,.66,.62,.68,.62,.73
2006,.56,.73,.63,.47,.48,.66,.54,.71,.65,.70,.74,.79,.64,.63,.66,.53,.64,.70
2007,1.02,.70,.73,.77,.69,.61,.60,.60,.60,.59,.59,.50,.67,.69,.84,.73,.60,.59
2008,.31,.38,.75,.54,.49,.49,.60,.46,.61,.67,.69,.54,.54,.54,.39,.59,.52,.66
2009,.65,.53,.54,.61,.65,.65,.74,.69,.72,.65,.80,.68,.66,.65,.57,.60,.69,.72
2010,.75,.84,.93,.85,.76,.68,.63,.67,.63,.71,.82,.45,.73,.74,.76,.84,.66,.72
2011,.52,.48,.66,.65,.53,.63,.70,.75,.57,.66,.59,.61,.61,.60,.49,.61,.69,.60
2012,.49,.49,.58,.73,.78,.64,.59,.65,.73,.79,.79,.54,.65,.66,.53,.70,.63,.77
2013,.71,.62,.67,.54,.61,.69,.60,.69,.77,.69,.84,.70,.68,.66,.62,.61,.66,.77
2014,.76,.55,.78,.80,.86,.67,.58,.83,.88,.81,.67,.78,.75,.74,.67,.81,.69,.78
2015,.86,.90,.96,.76,.80,.81,.73,.80,.85,1.09,1.06,1.16,.90,.87,.85,.84,.78,1.00
2016,1.17,1.37,1.36,1.10,.95,.80,.85,1.02,.91,.89,.92,.86,1.02,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.16,.94,.91,.72,.82,.87,.77,.90,.88,.93,.92,.92,1.01,1.01,.80,.85
2018,.82,.85,.88,.89,.82,.77,.82,.76,.80,1.02,.82,.91,.85,.85,.87,.86,.79,.88
2019,.93,.95,1.17,1.01,.85,.90,.94,.95,.93,1.01,.99,1.09,.98,.96,.93,1.01,.93,.98
2020,1.17,1.24,1.17,1.13,1.01,.92,.90,.87,.99,.88,1.10,.81,1.02,1.04,1.17,1.10,.90,.99
2021,.81,.64,.88,.75,.78,.84,.92,.82,.92,1.00,.94,.85,.85,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.83,.84,.92,.93,.95,.90,.97,.73,.79,.89,.90,.89,.91,.94,.86
2023,.87,.98,1.20,1.00,.93,1.08,1.18,***,***,***,***,***,***,***,.88,1.04,***,***
